time,open,high,low,close
1785103380,4090.16,4091.89,4089.02,4089.945
1785103560,4090.43,4091.665,4089.41,4089.915
1785103740,4089.96,4090.585,4087.655,4087.655
1785103920,4087.715,4088.785,4086.54,4088.16
1785104100,4088.295,4088.3,4084.03,4086.025
1785104280,4085.855,4088.4,4084.74,4088.09
1785104460,4088.04,4090.28,4087.29,4087.845
1785104640,4087.795,4088.66,4085.93,4086.39
1785104820,4086.395,4087.28,4085.425,4086.85
1785105000,4086.675,4091.815,4085.83,4091.705
1785105180,4091.735,4093.17,4091.11,4092.855
1785105360,4092.905,4092.94,4089.89,4090.32
1785105540,4090.265,4092.88,4090.06,4091.675
1785105720,4091.6,4092.185,4090.3,4091.365
1785105900,4091.305,4092.9,4090.585,4091.98
1785106080,4091.965,4093.84,4089.76,4091.695
1785106260,4091.625,4092.1,4090.555,4091.295
1785106440,4091.345,4092,4088.955,4090.53
1785106620,4090.525,4091.4,4089.39,4089.575
1785106800,4089.795,4091.435,4087.645,4087.995
1785106980,4087.97,4088.545,4087.105,4088.235
1785107160,4088.16,4088.525,4087.005,4087.695
1785107340,4087.745,4087.855,4085.34,4085.78
1785107520,4085.84,4086.66,4084.53,4084.895
1785107700,4084.985,4086.485,4084.525,4085.585
1785107880,4085.58,4085.84,4084.785,4085.015
1785108060,4085.01,4086.355,4083.8,4084.345
1785108240,4084.275,4085.555,4083.82,4084.405
1785108420,4084.395,4085.67,4084.365,4084.905
1785108600,4084.865,4085.9,4084.69,4085.72
1785108780,4085.5,4087.185,4085.5,4087.08
1785108960,4087.07,4087.93,4086.695,4087.07
1785109140,4087.075,4088.345,4086.245,4088.295
1785109320,4088.3,4089.55,4088.28,4089.195
1785109500,4089.205,4094.66,4088.415,4093.42
1785109680,4093.445,4095.385,4092.4,4095.065
1785109860,4095.115,4096.365,4093.38,4093.425
1785110040,4093.45,4094.47,4093.205,4093.26
1785110220,4093.25,4096.515,4092.8,4094.11
1785110400,4094.105,4104.36,4093.88,4103.17
1785110580,4103.145,4105.06,4100.855,4101.555
1785110760,4101.55,4102.32,4099.655,4100.755
1785110940,4100.75,4114.15,4100.4,4113.79
1785111120,4113.76,4116.185,4113.65,4115.58
1785111300,4115.57,4115.57,4110.18,4112.15
1785111480,4112.155,4112.31,4104.755,4104.755
1785111660,4104.765,4106.335,4102.525,4102.94
1785111840,4102.945,4103.66,4093.89,4097.22
1785112020,4097.1,4097.145,4090.64,4094.74
1785112200,4094.715,4097.855,4093.755,4096.385
1785112380,4096.55,4102.215,4095.115,4102.09
1785112560,4102.02,4102.645,4099.49,4102.415
1785112740,4102.41,4102.465,4098.635,4100.105
1785112920,4100.145,4102.45,4099.58,4100.085
1785113100,4100.075,4105.42,4099.97,4104.69
1785113280,4104.7,4109.295,4104.085,4109.295
1785113460,4109.305,4109.37,4105.56,4106.25
1785113640,4106.245,4106.64,4103.66,4104.58
1785113820,4104.59,4105.165,4099.075,4100.815
1785114000,4100.83,4111.945,4100.71,4107.55
1785114180,4107.565,4111.22,4104.54,4110.37
1785114360,4110.34,4112.48,4106.135,4106.87
1785114540,4106.875,4110.115,4105.855,4110.08
1785114720,4110.09,4110.09,4106.305,4107.365
1785114900,4107.38,4109.23,4104.565,4105.94
1785115080,4105.965,4106.285,4101.505,4101.595
1785115260,4101.605,4103.4,4100.09,4100.77
1785115440,4100.69,4101.98,4097.13,4097.605
