time,open,high,low,close
1762124400,25875.8,25934.7,25875.8,25934.3
1762125300,25934.1,25939.2,25911.7,25921.4
1762126200,25921.5,25949.7,25916.1,25938.5
1762127100,25938.6,25955.1,25937.8,25942.9
1762128000,25943,25961,25942.8,25954.2
1762128900,25954.4,25976.1,25953.1,25967.9
1762129800,25968,25977.5,25963.3,25974.2
1762130700,25974.4,25980.6,25972,25980
1762131600,25979.8,25982.7,25964.6,25976.3
1762132500,25976.4,25989.5,25965.8,25970.7
1762133400,25970.9,25973.9,25952.8,25964.7
1762134300,25964.5,25965.6,25952.7,25954
1762135200,25953.9,25962,25949.6,25959.3
1762136100,25959.6,25979.2,25957.8,25968.6
1762137000,25968.5,25968.8,25935.1,25951.9
1762137900,25952,25958.7,25943.3,25948.2
1762138800,25948.1,25951.2,25928.4,25930.3
1762139700,25930.6,25944.7,25915.7,25930.2
1762140600,25930.1,25947.4,25924.3,25937.3
1762141500,25937.2,25944.7,25928.3,25942.8
1762142400,25942.3,25943,25930.2,25937.5
1762143300,25937.6,25951.7,25932.2,25944.8
1762144200,25945,25950.3,25936.9,25939.7
1762145100,25939.8,25950.5,25939.4,25949.4
1762146000,25949.2,25953.6,25941.9,25944
1762146900,25943.8,25944.4,25921.5,25942.1
1762147800,25942.3,25952.9,25933.4,25948
1762148700,25947.9,25949,25923.2,25933.9
1762149600,25934,25946.3,25927.2,25927.7
1762150500,25927.6,25931.2,25898.3,25906.7
1762151400,25906.5,25926.2,25901.6,25910.1
1762152300,25909.5,25926.3,25897.4,25913.1
1762153200,25913.2,25914.8,25889.6,25896.2
1762154100,25896.1,25914.3,25888.3,25902.3
1762155000,25902.4,25906.1,25884.4,25884.4
1762155900,25884.5,25903.4,25882.8,25896.9
1762156800,25897.1,25920.4,25884.9,25916.3
1762157700,25916.5,25934.9,25904.7,25930.5
1762158600,25929.7,25945.1,25923.3,25944.7
1762159500,25944.9,25963.2,25940.4,25950.8
1762160400,25950.9,25987,25947.4,25986.5
1762161300,25986.6,26013.6,25984.2,26012.6
1762162200,26012.7,26020.5,26001.7,26011.5
1762163100,26011.4,26013.3,25990.7,25994.8
1762164000,25994.9,26004.9,25988.4,25999.6
1762164900,25999.5,26011,25993.2,26005.6
1762165800,26005.5,26020.3,25997.8,26018.3
1762166700,26018.4,26029.5,25997.1,26004.6
1762167600,26004.4,26033.5,26004.4,26025.1
1762168500,26025,26043.3,26021.9,26026.3
1762169400,26026.4,26034.1,26018,26025.1
1762170300,26025.2,26040.3,26015.3,26018.4
1762171200,26018.6,26048.2,26015.5,26044.3
1762172100,26044.6,26045.3,26017.2,26019.2
1762173000,26019.1,26031.1,26008.9,26023
1762173900,26022.9,26038.8,26017.5,26017.5
1762174800,26017.4,26022.6,25999,26013.4
1762175700,26014.6,26025.1,26006.1,26009.6
1762176600,26009.9,26046.7,26009.4,26040
1762177500,26040.1,26057.3,26031.3,26052.9
1762178400,26053.9,26118.4,26053.8,26076.4
1762179300,26076.2,26101.3,26073.3,26100.4
1762180200,26100.5,26131.2,26021.3,26034.7
1762181100,26033.8,26047.3,25983.2,26001.2
1762182000,26001.3,26020.7,25954.8,25992.2
1762182900,25992.3,25993.8,25900.4,25909.8
1762183800,25910.8,25968.1,25881.6,25956.6
1762184700,25956.7,25980.7,25921,25958.1
1762185600,25958.5,25964.7,25929.2,25950.3
1762186500,25950.4,25971.3,25915,25920.4
1762187400,25920.7,25967.5,25912.6,25946.7
1762188300,25946.8,25995.2,25923.6,25986.8
1762189200,25986.9,25999.3,25950.5,25998.9
1762190100,25998.8,26010.9,25957.2,25969.2
1762191000,25970.4,26018.8,25969.6,26007.2
1762191900,26007.4,26027.5,26004.7,26018.2
1762192800,26018.1,26027.9,26009.1,26023.5
1762193700,26023.4,26025.8,26004.4,26008
1762194600,26007.9,26032.8,26007.9,26025.6
1762195500,26025.7,26027.1,25993.7,25998.2
1762196400,25998,26006.5,25972.1,25980.8
1762197300,25980.6,25989.6,25955.5,25965.3
1762198200,25965,25981.2,25934.3,25958.1
1762199100,25958.4,25993.3,25957.2,25984
1762200000,25984.2,25992.3,25964.2,25975.7
1762200900,25975.5,25982,25957.2,25968.2
1762201800,25968.3,25974.7,25940.7,25974.3
1762202700,25974.5,25980.8,25941.8,25980.3
1762203600,25980.1,26048.3,25965,25993.4
1762204500,25992.9,25994.8,25972.8,25973.8
1762205400,25973.6,25985.9,25973.3,25981.4
1762206300,25981.2,25990,25974.5,25977
1762207200,25977.1,25985.3,25977,25984.8
1762208100,25982.9,25985.6,25982.3,25983.4
1762209000,25983.7,25984.4,25982.9,25983.4
1762209900,25983.2,25983.2,25969.3,25969.3
1762210800,25974.5,25974.5,25952,25953.3
1762211700,25953.2,25960.3,25946.2,25957.2
1762212600,25957.3,25957.9,25937,25938.3
1762213500,25938.1,25944.8,25934,25940.1
1762214400,25939.9,25939.9,25913.1,25915.7
1762215300,25915.6,25917.2,25855.4,25856.5
1762216200,25856.3,25884.2,25852.7,25877.3
1762217100,25877.5,25890.3,25873.2,25886
1762218000,25887,25887.9,25863.6,25877
1762218900,25877.1,25902.5,25871.5,25891.6
1762219800,25891.7,25892.5,25873.6,25883
1762220700,25882.8,25890.8,25859.3,25878.8
1762221600,25878.7,25879.4,25859.9,25862.5
1762222500,25862.6,25867.1,25845.5,25848.1
1762223400,25848.2,25854,25831.1,25832.4
1762224300,25832.5,25840.4,25813.9,25814.8
1762225200,25814.7,25848.8,25811.2,25843.8
1762226100,25843.9,25845.5,25825.4,25836.6
1762227000,25836.5,25838,25796.1,25810.7
1762227900,25810.5,25811,25799.5,25800.9
1762228800,25801,25814.2,25791.8,25798
1762229700,25798.4,25805.1,25781.6,25791.9
1762230600,25792,25799.3,25777,25781.9
1762231500,25782,25801,25780.8,25795.7
1762232400,25795.8,25799.7,25778.7,25779.9
1762233300,25779.8,25785.1,25742.3,25742.8
1762234200,25743,25759.3,25695.9,25696.3
1762235100,25696.7,25722.3,25680.6,25694.5
1762236000,25694.6,25697.8,25627.2,25662.1
1762236900,25661.9,25671.6,25637.9,25640
1762237800,25639.6,25657.6,25615.1,25645.4
1762238700,25645.3,25672.1,25641.3,25648.9
1762239600,25648.7,25652,25609.3,25623
1762240500,25623.1,25664.7,25612,25642.6
1762241400,25641.6,25674.1,25636.1,25648.1
1762242300,25647.9,25674.1,25637.4,25664.3
1762243200,25664.5,25665.1,25607.3,25608.8
1762244100,25608.7,25652.8,25600.7,25637.8
1762245000,25637.7,25662.3,25633.9,25652.7
1762245900,25652.9,25658.4,25626.2,25637.9
1762246800,25637.8,25660.3,25601.9,25622.5
1762247700,25622.3,25636.5,25593.4,25601.5
1762248600,25601.4,25624.3,25584.3,25588.8
1762249500,25588.7,25603.7,25540.5,25546.7
1762250400,25545.6,25566.5,25516.9,25555.9
1762251300,25556,25589.4,25543.4,25586.7
1762252200,25586.9,25634.7,25585.8,25632.9
1762253100,25632.8,25644.3,25622.4,25629.1
1762254000,25628.9,25639.7,25618.6,25630.7
1762254900,25630.6,25643.7,25627.9,25639.2
1762255800,25639,25665,25638.2,25653.4
1762256700,25653.6,25657.9,25633.7,25638.6
1762257600,25639.1,25644.7,25596.4,25616.3
1762258500,25616.2,25656.9,25613.3,25652.3
1762259400,25651.9,25661.7,25622.9,25626.1
1762260300,25626.2,25647,25617.6,25627.8
1762261200,25628,25638.5,25614.3,25615.9
1762262100,25616,25620.8,25577.2,25583.9
1762263000,25584,25589.6,25556.5,25584.4
1762263900,25584.2,25608.1,25567.8,25589.1
1762264800,25589,25598.1,25557.6,25588.2
1762265700,25588.1,25623.7,25587.5,25614.9
1762266600,25615.1,25654.1,25535.8,25648.2
1762267500,25648.3,25751.2,25608,25745.6
1762268400,25745.5,25755.9,25699.8,25724.2
1762269300,25724.7,25764.1,25716.7,25734.5
1762270200,25734.6,25760.7,25715,25741.4
1762271100,25741.7,25741.8,25635.1,25659.5
1762272000,25659.8,25693.7,25630.6,25654.3
1762272900,25654.2,25659.8,25609.9,25642.5
1762273800,25642.6,25667.8,25623.2,25645
1762274700,25644.8,25652.6,25596.3,25628.4
1762275600,25626.9,25628.4,25573.1,25577.9
1762276500,25578,25605.2,25514.6,25582.7
1762277400,25582.2,25590.7,25535.4,25551.9
1762278300,25551.8,25601.6,25536.4,25552.6
1762279200,25552.1,25555.2,25514.5,25531.6
1762280100,25531.8,25542.4,25484.3,25498.4
1762281000,25498.6,25523.7,25474.7,25523
1762281900,25522.9,25556.1,25501.4,25541.5
1762282800,25541.2,25559.6,25512.8,25524.6
1762283700,25524.4,25549.1,25513.7,25532.1
1762284600,25532.7,25537.1,25446.6,25465.2
1762285500,25465.3,25480.4,25447.4,25476.4
1762286400,25476.5,25498.3,25459.7,25494.9
1762287300,25495.4,25510.5,25452.3,25490.9
1762288200,25491.2,25504.3,25466,25499.1
1762289100,25499.6,25512.8,25416.2,25449.6
1762290000,25448.6,25462.1,25424.3,25437.8
1762290900,25436.3,25452.1,25396.7,25413
1762291800,25413.8,25435.1,25392.7,25433.7
1762292700,25433.9,25455.5,25427.9,25444.5
1762293600,25444.4,25450.1,25441.3,25446.2
1762294500,25445.9,25445.9,25436,25445.6
1762295400,25445.1,25445.2,25428.9,25430.6
1762296300,25431.3,25431.3,25419.4,25420.9
1762297200,25417.9,25447,25386,25402.7
1762298100,25402.8,25412.8,25388.5,25393.5
1762299000,25393.6,25410.1,25386.3,25400.8
1762299900,25401,25401.9,25375.4,25377
1762300800,25377.2,25377.2,25328.8,25365.1
1762301700,25365,25371.5,25323.9,25326.6
1762302600,25327.3,25328.8,25287.4,25292.2
1762303500,25292.4,25298.7,25281.2,25283.3
1762304400,25283.4,25285.1,25226.5,25257.9
1762305300,25258,25258.9,25190.4,25192.7
1762306200,25192.6,25205,25155.6,25170.6
1762307100,25169.9,25228.5,25165.5,25212.1
1762308000,25212.2,25235.8,25188.3,25208.1
1762308900,25208.2,25209.4,25171.2,25172.5
1762309800,25174.3,25243.1,25170.7,25242.7
1762310700,25242.9,25296.7,25241.1,25289.5
1762311600,25289.6,25343.1,25289.6,25339.9
1762312500,25339.8,25345.9,25305.1,25338.7
1762313400,25339,25362.3,25322.2,25362.3
1762314300,25362.2,25393.2,25360.8,25392.8
1762315200,25393,25393.3,25334.4,25348.4
1762316100,25348.3,25360.3,25330.1,25354.3
1762317000,25354.5,25369,25342.9,25364.9
1762317900,25365.1,25366.6,25319.9,25342.2
1762318800,25342,25404.6,25339.1,25400.6
1762319700,25400.8,25409.1,25380.8,25399.6
1762320600,25399.5,25412,25373.3,25375.4
1762321500,25375.2,25375.5,25338.4,25357.3
1762322400,25357.8,25388.9,25332.2,25381.2
1762323300,25381.3,25429.7,25381.3,25414.8
1762324200,25415,25426.7,25395.6,25414.3
1762325100,25414.4,25416.6,25400.8,25404.9
1762326000,25404.8,25410.3,25364.3,25365
1762326900,25365.2,25373.6,25347.6,25372.2
1762327800,25372.3,25380,25354.3,25372
1762328700,25371.9,25380.2,25350.2,25351.1
1762329600,25352.1,25407.2,25329.1,25397.3
1762330500,25397.4,25401.9,25366.3,25395
1762331400,25394.9,25410.2,25389.4,25404.7
1762332300,25404.8,25414.1,25386.3,25389.6
1762333200,25389.3,25429.1,25383.8,25395.6
1762334100,25395.7,25405.9,25376.4,25390.8
1762335000,25390.9,25391.5,25356.5,25381.5
1762335900,25381.3,25403.2,25369.3,25396
1762336800,25395.9,25413.6,25365.8,25378.5
1762337700,25378.3,25385.2,25369.4,25370.7
1762338600,25370.6,25372.1,25357.1,25361.6
1762339500,25361.8,25362.4,25287.3,25289.6
1762340400,25289.4,25318.4,25280,25312.3
1762341300,25312.2,25344.2,25311.3,25324.7
1762342200,25324.5,25355.7,25309.4,25347.9
1762343100,25348,25360.6,25343.7,25356.3
1762344000,25356.6,25366.7,25333.8,25353.8
1762344900,25354,25397.8,25353.2,25380.6
1762345800,25380.5,25412,25377.1,25405.9
1762346700,25405.8,25407.4,25375,25403.8
1762347600,25403.9,25416.8,25383.6,25395.3
1762348500,25395.4,25440.5,25390.9,25438.6
1762349400,25438.9,25471.2,25414.9,25467.3
1762350300,25467.2,25472,25454.4,25462.8
1762351200,25462.7,25465,25435.8,25444.2
1762352100,25444.1,25445.3,25404.9,25418.4
1762353000,25418.7,25452.6,25364.5,25403.3
1762353900,25403.8,25567.4,25399.4,25563.1
1762354800,25563.4,25593.7,25519,25523.3
1762355700,25523.2,25591.4,25493.7,25563.2
1762356600,25563.8,25606.1,25549.9,25579.5
1762357500,25579.8,25611.7,25555.3,25595.9
1762358400,25595.5,25608,25543.1,25556.3
1762359300,25556.4,25623.3,25535.4,25618.3
1762360200,25616.9,25643.5,25601.8,25641.3
1762361100,25641.4,25663.5,25633.2,25649.6
1762362000,25647.2,25656.5,25615.1,25640.4
1762362900,25640.6,25669.2,25629.1,25663.2
1762363800,25662.8,25700.9,25659.3,25700.7
1762364700,25700.5,25703.8,25677.1,25687.6
1762365600,25687.7,25697.2,25679.9,25693.5
1762366500,25693.3,25709.4,25685,25704.4
1762367400,25704.1,25736.2,25699.3,25731.8
1762368300,25731.9,25749.3,25727.8,25740.4
1762369200,25741,25741,25700.2,25724.6
1762370100,25724.5,25743.1,25721.6,25729
1762371000,25728.9,25748,25726.2,25736.5
1762371900,25736.7,25750.7,25728,25738.4
1762372800,25739,25752.4,25724.4,25735.7
1762373700,25735.8,25740.2,25704.6,25709.3
1762374600,25708,25708,25679.6,25684.7
1762375500,25685.1,25691.4,25605.7,25616.4
1762376400,25616.2,25639.1,25572,25579.8
1762377300,25580.3,25610.4,25570.1,25593.9
1762378200,25593.8,25609,25592.9,25605.2
1762379100,25604.7,25611.1,25598.9,25599.2
1762380000,25599.1,25608.8,25597.2,25608.2
1762380900,25608.1,25608.6,25604.7,25605.5
1762381800,25604.9,25607.9,25598.4,25607.4
1762382700,25607.8,25619.5,25606.2,25619.5
1762383600,25616.3,25634.4,25580.3,25609.8
1762384500,25609.9,25622.3,25589.5,25612.6
1762385400,25612.5,25648.9,25602.1,25648.3
1762386300,25647.4,25651.7,25621.5,25650.1
1762387200,25650.2,25652.5,25587.7,25597.5
1762388100,25597.7,25607,25528.8,25548
1762389000,25548.4,25589.2,25547.3,25575.4
1762389900,25575.6,25587.1,25558,25575.6
1762390800,25575.7,25575.7,25529.5,25559.8
1762391700,25559.7,25572,25495.2,25507.3
1762392600,25507.6,25551.8,25505.8,25551.3
1762393500,25551.1,25559.7,25535,25550.6
1762394400,25550.7,25554.6,25516.7,25526.7
1762395300,25526.6,25550.4,25525.2,25539
1762396200,25539.2,25591.7,25537.4,25579.2
1762397100,25579,25596.5,25568.6,25592.2
1762398000,25592.3,25603.7,25586.9,25601.7
1762398900,25601.5,25609.8,25581.4,25590
1762399800,25589.8,25608.5,25582.6,25601.3
1762400700,25601.2,25612.8,25576.7,25602.1
1762401600,25602,25606.3,25584.9,25605.7
1762402500,25605.3,25620.4,25603.3,25614.3
1762403400,25614.4,25623.1,25609.5,25619.8
1762404300,25619.9,25621.9,25605.1,25618.8
1762405200,25619,25623,25597.8,25604.4
1762406100,25604.3,25617.7,25601.4,25606.7
1762407000,25606.6,25610.6,25581.3,25582.5
1762407900,25582.6,25588.6,25567.9,25574.1
1762408800,25574,25593.3,25569.9,25578.3
1762409700,25578.4,25592.3,25558.9,25562.9
1762410600,25563,25580.6,25552.2,25573.4
1762411500,25573.7,25585,25561.9,25563.4
1762412400,25563.6,25572.9,25551.9,25571.2
1762413300,25571,25596.5,25555.6,25582.9
1762414200,25582.8,25583.8,25523.3,25544.2
1762415100,25544.4,25558.9,25525,25526.4
1762416000,25526.5,25539.3,25511.3,25533.7
1762416900,25533.5,25536.6,25509.2,25525
1762417800,25525.1,25539.8,25509.5,25538
1762418700,25538.1,25563.1,25527.4,25552.1
1762419600,25552.2,25601.4,25551.2,25600.9
1762420500,25600.1,25620.4,25598.1,25616.4
1762421400,25616.3,25621.6,25595.5,25611
1762422300,25611.1,25628.7,25604.2,25609
1762423200,25610.1,25626.9,25605.9,25623
1762424100,25623.2,25651.5,25618.9,25648.6
1762425000,25648.5,25658.7,25632.9,25641.9
1762425900,25641.8,25647.6,25621.7,25632.4
1762426800,25632.3,25645.1,25623.1,25629.4
1762427700,25629.2,25653.8,25626.2,25649.1
1762428600,25649,25657,25629.6,25643.2
1762429500,25643.3,25648.6,25627.6,25629
1762430400,25628.9,25669.1,25628.6,25655.5
1762431300,25656.2,25668.5,25639.4,25651
1762432200,25651.1,25670.2,25649.1,25665.4
1762433100,25665.6,25672.2,25656.7,25659.5
1762434000,25659.3,25675.5,25656.7,25674.8
1762434900,25674.9,25695.1,25663.6,25692.3
1762435800,25692.6,25703.3,25680.7,25682.8
1762436700,25682.9,25686.9,25642.3,25647.1
1762437600,25647.3,25655.5,25574.9,25602.7
1762438500,25602.8,25606.2,25547.5,25555.5
1762439400,25555.3,25565.6,25467.3,25488.9
1762440300,25488.8,25553.9,25393.8,25397.3
1762441200,25397.5,25397.5,25297.1,25304
1762442100,25304.1,25425.6,25286.2,25386.8
1762443000,25386.3,25395.5,25200.9,25207
1762443900,25206.3,25245.3,25171.1,25181.7
