time,open,high,low,close
1769904000,78741.1,79393.25,78644.09,79337.87
1769904900,79337.87,79424,78970.46,79089.36
1769905800,79089.37,79225.99,78755,78755.54
1769906700,78755.54,79123.67,78745,78902.31
1769907600,78902.31,78943.62,78408.18,78696.13
1769908500,78696.13,78873.57,78388.56,78834.31
1769909400,78834.31,78872.43,78293.35,78343.5
1769910300,78343.5,78549.2,78284,78532.17
1769911200,78532.32,78856.61,78378,78817.97
1769912100,78817.96,78899.71,78520,78630
1769913000,78630,78810.09,78612.6,78749.48
1769913900,78749.48,79060.44,78730,78900.01
1769914800,78900.01,79008.36,78746.58,78864.18
1769915700,78864.18,78894,78666.73,78742.93
1769916600,78742.93,78865.1,78686,78733.27
1769917500,78733.26,78916.47,78733.26,78868.28
1769918400,78868.29,79005.49,78720.97,78964.13
1769919300,78964.12,79119.3,78906.03,78931.67
1769920200,78931.68,79018,78916.6,79012.99
1769921100,79012.99,79061.4,78969.71,78971.75
1769922000,78973.22,79006,78735.7,78851.34
1769922900,78851.34,78986,78735.69,78950.01
1769923800,78950,78953.28,78550,78581.34
1769924700,78581.34,78649.15,78527.13,78620.91
1769925600,78620.9,78717.1,78608,78711.25
1769926500,78711.25,78824.1,78685.35,78710.47
1769927400,78710.47,78786,78402,78526.02
1769928300,78526.02,78526.02,78266.63,78300
1769929200,78300.01,78359.99,77967.69,78122.9
1769930100,78122.9,78216.51,78002.13,78212.25
1769931000,78212.24,78724.01,78184,78580.11
1769931900,78580.12,78591.02,78342.72,78343
1769932800,78343,78532,78341.99,78446.06
1769933700,78446.07,78500.53,78252.64,78500.53
1769934600,78500.52,78863,78468.43,78863
1769935500,78862.99,78863,78551.53,78604.02
1769936400,78604.02,78840,78551.15,78760.51
1769937300,78760.51,78789.48,78640.44,78681.42
1769938200,78681.41,78909.65,78679.67,78867
1769939100,78867,79136.1,78750,79034.45
1769940000,79034.45,79220.72,78886.78,79175.8
1769940900,79175.79,79175.79,78993.43,79020.27
1769941800,79020.27,79034.88,78384.93,78384.93
1769942700,78384.94,78526.02,78148.1,78279.73
1769943600,78279.73,78514.65,78279.72,78499.99
1769944500,78500,78501.44,78311.1,78414.91
1769945400,78414.92,78873.4,78414.92,78839.52
1769946300,78839.53,78877.89,78707.1,78743.56
1769947200,78743.57,78760,78480,78569.8
1769948100,78569.81,78626.5,78244,78446.68
1769949000,78446.67,78667.15,78357.11,78378.45
1769949900,78378.46,78506,78378.46,78459.67
1769950800,78459.68,78741.78,78459.68,78673.47
1769951700,78673.47,78768.68,78608,78687.14
1769952600,78687.14,78695.51,78463.66,78526.34
1769953500,78526.34,78650.43,78203.21,78317.51
1769954400,78317.51,78440,78110,78188.32
1769955300,78188.31,78218.52,77816.24,77849.34
1769956200,77849.34,78134.94,77236.68,77887.62
1769957100,77887.63,78520,77812.13,78211.12
1769958000,78211.12,78254.2,77526.28,77618.62
1769958900,77618.63,77691.97,76931.25,76984
1769959800,76984,77392,76761.98,77169.8
1769960700,77169.8,77859.59,77152,77593.4
1769961600,77593.4,77606.16,77087.76,77571.98
1769962500,77571.98,77838.48,77125.16,77534.17
1769963400,77534.17,77750,77160.27,77242.29
1769964300,77242.3,77553.44,77134.38,77494.77
1769965200,77494.77,77748,77402.67,77641.2
1769966100,77641.19,77742.06,77338,77556.45
1769967000,77556.46,77640,77300,77475.73
1769967900,77475.73,77745.32,77366.21,77745.32
1769968800,77745.33,78279.51,77728.36,78234
1769969700,78233.99,78443.1,78003.31,78155.34
1769970600,78155.33,78188,77951.19,77990.7
1769971500,77990.71,78060.39,77727.27,78029.28
1769972400,78029.29,78106.1,77736,77736
1769973300,77736,77800,77607.32,77700
1769974200,77700,77799.02,77501.95,77544.37
1769975100,77544.37,77544.37,77000.01,77174.78
1769976000,77174.77,77306.01,76879.41,77193.13
1769976900,77193.13,77431.46,76606,76688.74
1769977800,76688.75,77740.91,76688.75,77416.62
1769978700,77416.63,77432,77073.66,77103.04
