time,open,high,low,close
1775832300,72865.03,72963.05,72703.83,72909
1775833200,72909,73123.37,72844,73026.4
1775834100,73026.39,73289.96,72761.32,72782.95
1775835000,72782.96,72842,72596.38,72745.81
1775835900,72745.8,72763.42,72355.87,72460.51
1775836800,72460.52,72707.34,72387.41,72695
1775837700,72695,72816.26,72575.08,72768.87
1775838600,72768.87,72799.47,72600,72719.54
1775839500,72719.54,73069.4,72708.89,72992.33
1775840400,72992.32,73004.85,72802.96,72865.04
1775841300,72865.04,73029.51,72803.69,72966.97
1775842200,72966.96,72966.97,72803.16,72918
1775843100,72918,73146,72918,73121.66
1775844000,73121.66,73136.39,72880.95,73087.79
1775844900,73087.79,73159.81,72889.54,72983.07
1775845800,72983.07,73015.01,72916.69,72952.8
1775846700,72952.79,73110.96,72939.18,73107.07
1775847600,73107.07,73255.25,73078,73175.77
1775848500,73175.78,73185,72990,72996.94
1775849400,72996.94,73017.03,72904.52,72945.98
1775850300,72945.99,73264.76,72900,73236.11
1775851200,73236.11,73265.25,73130.53,73242.98
1775852100,73242.98,73275.25,73131.11,73249.2
1775853000,73249.21,73434,73051.97,73240.68
1775853900,73240.69,73418,73150.59,73361.68
1775854800,73361.68,73364.47,73026.37,73079.24
1775855700,73079.24,73182,73057.66,73096.9
1775856600,73096.9,73099.61,72934.53,73064.01
1775857500,73064,73204.12,73036.97,73190.67
1775858400,73190.68,73244.03,73101.91,73157.53
1775859300,73157.54,73199,73000,73011.99
1775860200,73012,73024.3,72700.6,72858.2
1775861100,72858.21,72899.71,72832.78,72877
1775862000,72877.01,72889.35,72791.96,72879.93
1775862900,72879.94,72939.91,72811.25,72892.97
1775863800,72892.98,72928.59,72840,72904.39
1775864700,72904.39,72967.79,72904.39,72962.7
1775865600,72962.71,72962.71,72810.62,72871.39
1775866500,72871.39,72915.16,72817.97,72898.42
1775867400,72898.43,72938.28,72843.99,72862.4
1775868300,72862.4,72862.4,72787.94,72828.42
1775869200,72828.42,72846.68,72771.66,72809.38
1775870100,72809.38,72835.5,72670,72835.5
1775871000,72835.49,72936.66,72827.12,72854.63
1775871900,72854.64,72999.99,72854.64,72954.39
1775872800,72954.39,72999.07,72910.93,72966.26
1775873700,72966.26,73038.71,72966.25,72993.76
1775874600,72993.75,73094.89,72976.42,72999.96
1775875500,72999.95,72999.96,72922.95,72966.57
1775876400,72966.58,73075.34,72966.57,73044.28
1775877300,73044.28,73051.34,72994.84,72999.27
1775878200,72999.27,73023.99,72930,72980.04
1775879100,72980.03,72984.99,72814.42,72866.63
1775880000,72866.62,72954.28,72807.98,72837.99
1775880900,72838,72839.69,72681.9,72731.45
1775881800,72731.45,72824.76,72731.44,72804.46
1775882700,72804.46,72825.5,72768.58,72806.08
1775883600,72806.08,72826.4,72699.98,72709.99
1775884500,72709.99,72810.15,72679.08,72810.15
1775885400,72810.16,72836.55,72801.99,72802
1775886300,72802,72802,72716.58,72722.28
1775887200,72722.28,72722.29,72612.16,72673.87
1775888100,72673.87,72731.06,72634,72695.04
1775889000,72695.04,72756.77,72665.34,72727.21
1775889900,72727.21,72771.32,72715.71,72762
1775890800,72762.01,72777.67,72743.35,72758.34
1775891700,72758.34,72832,72755.72,72799.11
1775892600,72799.12,72815.63,72737.5,72737.5
1775893500,72737.5,72745.38,72672.56,72745.38
1775894400,72745.38,72784.22,72715.13,72770.73
1775895300,72770.73,72799.57,72740.57,72740.58
1775896200,72740.58,72760.54,72688.52,72732.87
1775897100,72732.88,72743.58,72638.44,72664.17
1775898000,72664.16,72675.71,72617.75,72673.88
1775898900,72673.89,72900,72673.89,72858.96
1775899800,72858.95,72858.96,72758.13,72829.8
1775900700,72829.8,72908,72829.8,72907.11
1775901600,72907.12,72915.95,72790,72810.14
1775902500,72810.13,72880.44,72773.6,72872.85
1775903400,72872.86,72872.86,72760.9,72783.36
1775904300,72783.36,72847.43,72768.88,72843.71
1775905200,72843.7,72884.63,72826.37,72865.78
1775906100,72865.78,72879.86,72826.37,72833.03
1775907000,72833.03,72848.08,72828.98,72848.08
1775907900,72848.07,72912,72842.3,72907.05
1775908800,72907.05,72946.1,72887.38,72927.87
1775909700,72927.87,72949.47,72814.97,72861.86
1775910600,72861.85,72964.3,72849.2,72962.73
1775911500,72962.73,72982.4,72920,72940.49
1775912400,72940.5,72940.5,72513.09,72605.99
1775913300,72605.99,72774.14,72605.98,72616.78
1775914200,72616.79,72716.56,72578.18,72668.01
1775915100,72668,72706,72641.53,72658.07
1775916000,72658.07,72727.32,72617.8,72704.9
1775916900,72704.9,72770.91,72700,72712.93
1775917800,72712.93,72715.12,72609.27,72657.3
1775918700,72657.3,72737.89,72643.38,72704.67
1775919600,72704.66,72737.89,72678,72700.71
1775920500,72700.72,72896.03,72696.27,72754.02
1775921400,72754.03,72813.86,72754.03,72771.17
1775922300,72771.17,72872.54,72733.03,72858.17
1775923200,72858.18,72872.54,72812.94,72872.54
1775924100,72872.54,72929.75,72851.68,72882.09
1775925000,72882.09,73204.74,72866,73107.53
1775925900,73107.54,73200,73025.05,73034.33
1775926800,73034.34,73049.78,72994.47,73002.93
1775927700,73002.93,73099.61,72942.06,73077.71
1775928600,73077.7,73169.04,73077.7,73154.44
1775929500,73154.45,73164.72,73061.03,73095.97
1775930400,73095.97,73110.73,73032.61,73110.72
1775931300,73110.73,73244,73110.72,73196.53
1775932200,73196.52,73726.13,73191.24,73463.42
1775933100,73463.43,73630,73430.18,73547.89
1775934000,73547.9,73790,73482,73570
1775934900,73570,73659.96,73472.38,73618.41
1775935800,73618.42,73790,73618.41,73692.43
1775936700,73692.43,73692.44,73609.34,73687.15
1775937600,73687.16,73689.97,73492.63,73493.28
1775938500,73493.28,73522.28,73402.68,73423.67
1775939400,73423.68,73423.68,73226.28,73363.35
1775940300,73363.36,73440,73285.22,73290.43
1775941200,73290.43,73434.89,73200.48,73420.81
