time,open,high,low,close
1782748800,59824.01,59931.98,59710.01,59732.01
1782749700,59732.01,59783.99,59584.48,59603.35
1782750600,59603.35,59888,59603.35,59877.94
1782751500,59877.93,60030,59826,59892.86
1782752400,59892.87,60483.49,59892,60458.81
1782753300,60458.8,60641.21,60399.47,60544.01
1782754200,60544,60683.84,60392,60620.01
1782755100,60620,60653.99,60404,60413.99
1782756000,60413.99,60520,60328.36,60519.99
1782756900,60520,60520,60229.32,60275.42
1782757800,60275.43,60336,60210.07,60288.3
1782758700,60288.3,60295,60193.87,60295
1782759600,60295,60310.64,60153.35,60200.01
1782760500,60200,60478,60189.97,60460
1782761400,60460,60472.19,60314,60466
1782762300,60466.01,60557.5,60414.26,60433.49
1782763200,60433.5,60553.06,60421.31,60437.99
1782764100,60438,60489.56,60362,60400
1782765000,60400,60479,60399.99,60416.7
1782765900,60416.7,60416.7,60295.32,60296
1782766800,60296.01,60415,60261.89,60414
1782767700,60413.99,60414,60306,60349.99
1782768600,60350,60492,60349.99,60464.06
1782769500,60464.05,60585.99,60464.05,60479.72
1782770400,60479.71,60494,60363.18,60450
1782771300,60450,60516,60432.17,60445.01
1782772200,60445.01,60458,60350,60385.24
1782773100,60385.25,60426.64,60352,60352.31
1782774000,60352.31,60379.23,60328.66,60345.99
1782774900,60346,60361.47,60194.01,60232.01
1782775800,60232,60296.56,60219.71,60252
1782776700,60252,60293.22,60218.62,60260.21
1782777600,60260.2,60276.54,60151.04,60202
1782778500,60202,60230,59915,59933
1782779400,59932.99,59935.99,59700,59778.41
1782780300,59778.41,59933.91,59756,59838.01
1782781200,59838.01,59871.63,59771,59828.8
1782782100,59828.8,60044,59814,60038
1782783000,60037.99,60048.98,59794,59838.98
1782783900,59838.98,59941.95,59832,59939.94
1782784800,59939.94,59945.72,59773.96,59796.01
1782785700,59796.01,59992,59755,59975.98
1782786600,59975.98,60026.99,59922,60007.01
1782787500,60007,60042.54,59941.96,59948.24
1782788400,59948.24,59980,59860.84,59899.94
1782789300,59899.93,60031.75,59818,59858
1782790200,59858,59858.01,59740.52,59740.53
1782791100,59740.53,59740.53,59600,59627.48
1782792000,59627.47,59627.48,59433.36,59563.46
1782792900,59563.46,59576,59442.99,59550.61
1782793800,59550.61,59700,59541.08,59616
1782794700,59616,59616,59446.73,59492.01
1782795600,59492.01,59531.99,59366.05,59432.99
1782796500,59432.99,59493.87,59375.52,59386.01
1782797400,59386.01,59579.99,59360,59567.5
1782798300,59567.51,59656.89,59554,59652.13
1782799200,59652.13,59674.7,59534.56,59566.15
1782800100,59566.15,59712.88,59513.72,59700.01
1782801000,59700,59711.64,59546.3,59557.99
1782801900,59558,59600.45,59543.37,59592
1782802800,59592,59632,59444,59491.29
1782803700,59491.3,59566.16,59447,59472.87
1782804600,59472.86,59572.06,59459.6,59512.72
1782805500,59512.72,59554.89,59462.75,59524.01
1782806400,59524.01,59551.03,59431.86,59431.87
1782807300,59431.87,59440,59371.56,59409.99
1782808200,59410,59441.95,59210,59274.7
1782809100,59274.7,59388.89,59189,59311.92
1782810000,59311.26,59400.09,59280,59343.74
1782810900,59343.74,59366.88,59266.01,59296
1782811800,59296.01,59388,59252,59360.28
1782812700,59360.28,59420,59360.27,59374.96
1782813600,59374.96,59413,59313.47,59370.99
1782814500,59370.98,59420,59338,59371.99
1782815400,59371.98,59372.94,59287.29,59334
1782816300,59334,59400.61,59286.36,59334.01
1782817200,59334.01,59413.27,59322,59388.25
1782818100,59388.26,59396,59196,59223.31
1782819000,59223.31,59275,59123.01,59249.14
1782819900,59249.14,59340,59158.43,59192.7
1782820800,59192.71,59192.71,59000.06,59009.9
1782821700,59009.9,59079.96,58760.16,58865.92
1782822600,58865.92,58897.79,58776.33,58843.5
1782823500,58843.5,58853.55,58403.51,58412
1782824400,58411.99,58658.55,58322.63,58458.1
1782825300,58458.11,58600,58454,58517
1782826200,58517,58762,58228.33,58570.01
1782827100,58570,58802.66,58462.4,58737.18
1782828000,58737.17,59276.6,58655,58995.99
1782828900,58996,59154.27,58894.08,59039.99
1782829800,59040,59100,58586.57,58919.4
1782830700,58919.41,58919.41,58433,58482.81
1782831600,58482.81,58600,58201,58441.99
1782832500,58442,58490,58204,58384.55
1782833400,58384.55,58500.99,58266.01,58444
1782834300,58444.01,58796,58347.37,58381.99
1782835200,58382,58632,58362,58406
1782836100,58406,58470.09,58254.21,58316
1782837000,58316,58480,58241.79,58324.77
1782837900,58324.77,58572,58324.76,58497.65
1782838800,58497.65,58618.65,58384,58404
1782839700,58404,58484.3,58367.22,58387.9
1782840600,58387.9,58458,58334.01,58376.01
1782841500,58376,58431.69,58310.72,58417.99
1782842400,58417.99,58498,58351.56,58472
1782843300,58472,58699.98,58426,58535.99
1782844200,58536,58552.68,58380.42,58456
1782845100,58456,58686.54,58455.99,58680.87
1782846000,58680.86,58723.4,58588,58651.11
1782846900,58651.11,58669.75,58586.01,58669.44
1782847800,58669.44,58807.34,58658,58752
1782848700,58752,58839.16,58698,58818.05
1782849600,58818,58874.99,58743.34,58865.99
1782850500,58866,58866,58689.6,58742
1782851400,58742,58742.67,58650,58660
