time,open,high,low,close
1493836200,2384.55,2388.35,2383.73,2386.57
1493839800,2386.59,2389.82,2386.36,2388.13
1493904600,2389.79,2391.43,2385.27,2390.1
1493908200,2390.12,2390.67,2386.66,2388.2
1493911800,2388.19,2390.75,2380.35,2383.12
1493915400,2383.12,2388.29,2382.49,2386.42
1493919000,2386.44,2389.3,2384.53,2387.96
1493922600,2387.97,2389.72,2386.5,2387.75
1493926200,2387.76,2390.04,2387.7,2389.52
1493991000,2392.37,2394.67,2389.82,2391.08
1493994600,2391.08,2392.17,2389.38,2390.48
1493998200,2390.46,2393.35,2390.28,2391.35
1494001800,2391.35,2392.31,2389.63,2392.08
1494005400,2392.09,2394.76,2391.85,2393.5
1494009000,2393.5,2396.17,2393.39,2395.6
1494012600,2395.61,2399.29,2395.61,2399.29
1494250200,2399.94,2401.36,2396.19,2396.39
1494253800,2396.38,2398.2,2393.92,2394.23
1494257400,2394.23,2397,2394.21,2396.01
1494261000,2396.01,2398.59,2396,2398.16
1494264600,2398.16,2399.15,2397.52,2398.19
1494268200,2398.19,2398.5,2397.07,2397.88
1494271800,2397.87,2399.38,2396.02,2399.38
1494336600,2401.58,2403.87,2400.28,2403.02
1494340200,2403.03,2403.12,2399.05,2400.36
1494343800,2400.34,2401.78,2399.69,2399.99
1494347400,2399.98,2399.98,2396.12,2396.27
1494351000,2396.27,2399.08,2396.09,2397.08
1494354600,2397.07,2399.16,2396.99,2398.45
1494358200,2398.46,2398.47,2392.44,2396.92
1494423000,2396.79,2396.79,2392.79,2392.9
1494426600,2392.95,2398.74,2392.92,2398.36
1494430200,2398.37,2398.62,2397.39,2397.7
1494433800,2397.7,2399.64,2397.44,2398.81
1494437400,2398.81,2399.2,2396.68,2396.76
1494441000,2396.75,2399.64,2396.7,2398.04
1494444600,2398.05,2399.74,2396.8,2399.63
1494509400,2394.84,2394.84,2381.74,2383.91
1494513000,2383.95,2388.51,2381.78,2387.53
1494516600,2387.55,2391.17,2386.69,2390.18
1494520200,2390.18,2392.45,2389.58,2390.39
1494523800,2390.39,2395.72,2390.34,2394.58
1494527400,2394.59,2394.8,2392.39,2393.02
1494531000,2393.02,2395.15,2392.73,2394.44
1494595800,2392.44,2392.44,2387.59,2388.07
1494599400,2388.08,2390.2,2387.19,2390.14
1494603000,2390.15,2392.11,2389.39,2389.61
1494606600,2389.61,2390.34,2388.54,2388.74
1494610200,2388.74,2390.26,2388.34,2389.14
1494613800,2389.12,2390.87,2388.58,2388.58
1494617400,2388.57,2390.9,2387.72,2390.9
1494855000,2393.98,2402.05,2393.94,2401.21
1494858600,2401.22,2404.05,2401.19,2402.62
1494862200,2402.62,2403.02,2400.82,2401.21
1494865800,2401.22,2402.5,2400.65,2402.46
1494869400,2402.46,2403.18,2399.31,2399.35
1494873000,2399.35,2401.15,2399.28,2400.62
1494876600,2400.61,2403.08,2399.95,2402.32
1494941400,2404.55,2405.77,2398.64,2398.97
1494945000,2398.94,2400.61,2396.05,2399.95
1494948600,2399.97,2402.62,2398.46,2402.13
1494952200,2402.12,2402.12,2399.53,2399.81
1494955800,2399.79,2401.02,2397.81,2398.44
1494959400,2398.43,2400.37,2398.29,2400.18
1494963000,2400.19,2401.23,2399.88,2400.67
1495027800,2382.95,2384.87,2373.87,2375.26
1495031400,2375.06,2376.77,2367.82,2373.57
1495035000,2373.57,2375.92,2371.87,2372.2
1495038600,2372.2,2375.34,2370.91,2371.87
1495042200,2371.88,2372.21,2363.45,2363.48
1495045800,2363.69,2367.66,2359.52,2364.1
1495049400,2364.09,2366.71,2356.21,2357.03
1495114200,2354.69,2367.1,2352.72,2366.02
1495117800,2366.05,2368.58,2363.01,2365.3
1495121400,2365.34,2366.57,2358.39,2362.2
1495125000,2362.12,2364.98,2359.67,2360.74
1495128600,2360.74,2373,2359.76,2372.18
1495132200,2372.2,2375.74,2367.99,2369.02
1495135800,2369.01,2371.68,2365.22,2365.72
1495200600,2371.37,2383.27,2370.43,2382.43
1495204200,2382.44,2384.41,2380.43,2383.01
1495207800,2383,2385.89,2381.54,2385.56
1495211400,2385.57,2388.06,2385.06,2386.05
1495215000,2386.06,2387.31,2385.06,2386.68
1495218600,2386.68,2389.06,2380.32,2380.84
1495222200,2380.85,2381.89,2379.56,2381.73
1495459800,2387.21,2392.32,2387.21,2390.19
1495463400,2390.19,2390.75,2386.92,2390.25
1495467000,2390.25,2394.61,2389.43,2393.32
1495470600,2393.32,2393.64,2392.21,2393.22
1495474200,2393.22,2393.81,2391.35,2393.04
1495477800,2393.04,2393.87,2392.41,2393.29
1495481400,2393.29,2395.46,2393.09,2394.02
1495546200,2397.04,2398.45,2393.88,2397.11
1495549800,2397.11,2399.03,2395.84,2398.85
1495553400,2398.87,2400.85,2397.83,2397.96
1495557000,2397.94,2399.56,2396.72,2399.12
1495560600,2399.04,2399.23,2397.19,2397.82
1495564200,2397.84,2400.44,2397.43,2398.35
1495567800,2398.34,2398.83,2397.04,2398.42
1495632600,2401.41,2401.67,2398.77,2400.8
1495636200,2400.78,2401.57,2398.69,2400.51
1495639800,2400.5,2401.26,2399.31,2400.69
1495643400,2400.67,2400.96,2398.95,2399.41
1495647000,2399.41,2403.42,2397.99,2402.59
1495650600,2402.6,2402.6,2400.07,2402.51
1495654200,2402.5,2405.58,2402.5,2404.39
1495719000,2409.54,2414.77,2408.01,2414
1495722600,2414.13,2417.58,2414.05,2416.51
1495726200,2416.49,2416.87,2411.83,2414.6
1495729800,2414.59,2416.78,2414.43,2415
1495733400,2414.99,2416.65,2413.8,2415.9
1495737000,2415.9,2417.72,2415.18,2415.5
1495740600,2415.49,2418.71,2414.36,2415.07
1495805400,2414.5,2416.07,2412.2,2414.53
1495809000,2414.53,2416.68,2413.83,2415.29
1495812600,2415.29,2415.67,2412.9,2415.18
1495816200,2415.18,2415.96,2414.58,2414.8
1495819800,2414.83,2415.75,2414.19,2415.61
1495823400,2415.62,2415.93,2414.45,2414.78
1495827000,2414.78,2416.05,2414.25,2415.82
1496151000,2411.67,2414.42,2409.43,2410.49
1496154600,2410.56,2414.01,2410.56,2412.26
1496158200,2412.27,2414.59,2412.23,2414.55
1496161800,2414.55,2415.26,2413.58,2413.64
1496165400,2413.66,2414.43,2413.37,2413.44
1496169000,2413.46,2415.17,2412.76,2413.68
1496172600,2413.69,2414.55,2412.82,2412.91
1496237400,2415.63,2415.99,2403.59,2406.56
1496241000,2406.58,2411.13,2405.78,2407.87
1496244600,2407.89,2409.76,2405.29,2407.9
1496248200,2407.89,2410.15,2406.81,2407.69
1496251800,2407.68,2408.31,2404.89,2408.05
1496255400,2408.04,2410.77,2407.29,2410.25
1496259000,2410.25,2412.31,2410.24,2411.8
1496323800,2415.65,2418.1,2413.54,2416.21
1496327400,2416.17,2417.45,2413.96,2416.83
1496331000,2416.83,2421.52,2416.8,2420.66
1496334600,2420.66,2426.07,2420.66,2425.96
1496338200,2425.95,2426.94,2424.78,2426.03
1496341800,2426.02,2426.3,2424.02,2425.42
1496345400,2425.43,2430.06,2425.04,2430.06
1496410200,2431.28,2433.37,2427.71,2431.36
1496413800,2431.39,2434.54,2431.15,2433.78
1496417400,2433.78,2437.59,2433.67,2437.59
1496421000,2437.62,2437.62,2436.14,2437.43
1496424600,2437.43,2439.65,2436.51,2436.51
1496428200,2436.5,2439.14,2436.5,2438.38
1496431800,2438.36,2440.23,2436.39,2439.07
1496669400,2437.83,2439.55,2434.32,2438.22
1496673000,2438.23,2439.26,2435.58,2435.85
1496676600,2435.84,2439.09,2435.49,2438.37
1496680200,2438.4,2439.32,2437.07,2439.02
1496683800,2439,2439,2437.07,2437.69
1496687400,2437.68,2438.38,2437.02,2437.98
1496691000,2438.04,2438.63,2435.83,2436.1
1496755800,2431.92,2434.92,2428.12,2433.98
1496759400,2433.97,2433.97,2430.63,2431.04
1496763000,2431.05,2434.72,2430.92,2432.75
1496766600,2432.76,2433.73,2431.09,2431.79
1496770200,2431.79,2433.61,2430.91,2433.59
1496773800,2433.54,2436.21,2431.27,2431.88
1496777400,2431.87,2431.92,2428.5,2429.33
1496842200,2432.03,2434.95,2431.32,2432.37
1496845800,2432.38,2432.38,2428.09,2429.26
1496849400,2429.28,2431.28,2429.26,2430.06
1496853000,2430.07,2430.09,2424.75,2429.28
1496856600,2429.29,2433.28,2428.41,2432
1496860200,2432.01,2433.95,2431.77,2433.34
1496863800,2433.32,2435.28,2431.69,2433.14
1496928600,2434.27,2436.21,2427.94,2429.09
1496932200,2429.07,2434.95,2428.95,2433.01
1496935800,2433.01,2439.27,2432.32,2436.92
1496939400,2436.92,2437.83,2432.56,2433.23
1496943000,2433.23,2436.12,2430.2,2430.73
1496946600,2430.72,2432.58,2428.07,2432.28
1496950200,2432.26,2434.48,2431,2433.79
1497015000,2436.39,2445.15,2436.39,2445.12
1497018600,2445.13,2446.2,2442.99,2444.62
1497022200,2444.63,2445.28,2438.11,2439.26
1497025800,2439.26,2440.01,2433.74,2436.44
1497029400,2436.46,2436.52,2428.61,2430.47
1497033000,2430.46,2431.35,2415.7,2431.03
1497036600,2431.03,2431.8,2423.72,2431.77
1497274200,2425.88,2430.38,2419.97,2424.03
1497277800,2423.93,2428.16,2421.69,2426.52
1497281400,2426.56,2427.81,2422.18,2422.8
1497285000,2422.83,2424.44,2420.45,2424.37
1497288600,2424.39,2425.16,2421.01,2422.85
1497292200,2422.85,2427.36,2422.38,2424.52
1497295800,2424.54,2429.73,2424.24,2429.39
1497360600,2434.15,2438.28,2434.15,2435.85
1497364200,2435.94,2437.22,2431.28,2434.97
1497367800,2435.04,2437.51,2434.28,2436.35
1497371400,2436.35,2439.73,2436.17,2439.57
1497375000,2439.58,2440.55,2436.79,2439.12
1497378600,2439.11,2441.23,2437.96,2441.23
1497382200,2441.2,2441.49,2437.87,2440.35
1497447000,2443.75,2443.75,2438.02,2438.85
1497450600,2438.91,2439.67,2435.13,2438.28
1497454200,2438.3,2438.87,2436.29,2438.04
1497457800,2438.02,2440.33,2437.99,2438.68
1497461400,2438.68,2442.73,2436.57,2439.9
1497465000,2439.89,2440.73,2428.34,2433.62
1497468600,2433.62,2439.38,2431.84,2437.92
1497533400,2424.14,2426.83,2418.53,2420.78
1497537000,2420.77,2429.06,2420.29,2429.06
1497540600,2429.07,2429.8,2425.26,2425.68
1497544200,2425.69,2430.73,2425.45,2427.97
1497547800,2427.98,2432.36,2426.89,2430.9
