time,open,high,low,close
1762124400,3995.47,3996.8,3990.91,3996.075
1762125300,3996.185,3999.335,3988.595,3994.68
1762126200,3994.53,3995.865,3978.08,3979.055
1762127100,3979.095,3985.305,3977.91,3979.67
1762128000,3979.605,3988.505,3966.19,3968.29
1762128900,3968.255,3973.38,3962.275,3970.965
1762129800,3970.955,3977.915,3963.28,3972.79
1762130700,3972.69,3977.05,3967.845,3970.755
1762131600,3970.76,3989.455,3965.28,3986.72
1762132500,3986.715,3999.89,3986.62,3998.95
1762133400,3998.89,4002.075,3990.265,3992.14
1762134300,3992.12,4000.295,3990.25,3996.09
1762135200,3996.055,3998.785,3990.445,3995.08
1762136100,3995.065,4006.7,3994.93,3995.805
1762137000,3995.84,4006.265,3995.25,4001.6
1762137900,4001.86,4006.485,3997.845,4004.21
1762138800,4004.265,4011.585,4002.2,4007.765
1762139700,4007.79,4010.605,4005.54,4006.1
1762140600,4006.105,4013.33,4005.47,4010.86
1762141500,4010.97,4015.45,4010.96,4011.29
1762142400,4011.295,4014.53,4006.825,4009.62
1762143300,4009.585,4009.835,4001.85,4005.62
1762144200,4005.555,4007.95,4002.69,4006.99
1762145100,4006.96,4007.545,4002.76,4003.7
1762146000,4003.71,4010.08,3997.705,4006.975
1762146900,4006.98,4012.91,4004.855,4012.04
1762147800,4012.015,4018.33,4012,4014.85
1762148700,4014.855,4016.92,4011.195,4013.935
1762149600,4013.93,4016.755,4010.03,4014.71
1762150500,4014.615,4018.705,4013.24,4016.565
1762151400,4016.585,4018.03,4013.25,4015.64
1762152300,4015.62,4018.795,4013.93,4017.635
1762153200,4017.64,4023.67,4015.165,4015.37
1762154100,4015.375,4020.65,4013.62,4019.115
1762155000,4019.055,4023.295,4015.715,4022.345
1762155900,4022.275,4026.045,4020.51,4025.185
1762156800,4025.195,4028.13,4020.69,4021.705
1762157700,4021.675,4023.62,4011.215,4014.51
1762158600,4014.515,4017.67,4011.955,4016.705
1762159500,4016.715,4020.845,4012.885,4019.715
1762160400,4019.71,4026.11,4016.735,4021.655
1762161300,4021.66,4022.14,4004.97,4007.24
1762162200,4007.245,4008.065,3996.52,3997.39
1762163100,3997.315,4005.36,3993.1,4000.63
1762164000,4000.675,4005.085,3994.44,3997.605
1762164900,3997.54,4000.815,3995.735,3997.915
1762165800,3997.865,4001.32,3994.445,3998.06
1762166700,3998.035,3999.255,3994.635,3998.715
1762167600,3998.645,4002.44,3994.34,4000.67
1762168500,4000.66,4007.14,3998.935,4006.705
1762169400,4006.77,4007.23,4003.1,4005.385
1762170300,4005.39,4008.76,4004.56,4007.69
1762171200,4007.71,4008.805,4004.865,4007.19
1762172100,4007.19,4007.815,4001.905,4005.3
1762173000,4005.29,4011.125,4003.86,4008.34
1762173900,4008.345,4013.8,4007.97,4013.61
1762174800,4013.59,4018.58,4012.14,4015.805
1762175700,4015.79,4019.82,4014.075,4014.505
1762176600,4014.52,4020.765,4010.865,4017.52
1762177500,4017.495,4018.34,4014.845,4016.155
1762178400,4015.96,4020.865,4012.76,4016.205
1762179300,4016.215,4020.555,4009.375,4010.29
1762180200,4010.335,4013.765,4001.755,4012.645
1762181100,4012.665,4026.155,4012.545,4022.855
1762182000,4022.84,4030.825,4022.84,4026.6
1762182900,4026.615,4028.93,4008.645,4011.62
1762183800,4011.54,4022.555,4005.42,4021.455
1762184700,4021.485,4023.81,4003.39,4008.59
1762185600,4008.595,4013.545,4001.775,4004.735
1762186500,4004.7,4005.31,3995.22,3998.17
1762187400,3998.14,4004.61,3996.05,4003.78
1762188300,4003.77,4009.885,4002.03,4008.48
1762189200,4008.495,4010.105,4003.59,4008.51
1762190100,4008.485,4012.245,4006.625,4007.04
1762191000,4007.04,4007.47,4004.555,4005.94
1762191900,4005.905,4007.78,4005.315,4006.23
1762192800,4006.305,4006.98,4001.765,4002.94
1762193700,4002.92,4003.95,3999.57,4001.47
1762194600,4001.525,4009.78,4001.195,4008.41
1762195500,4008.46,4008.635,4003.58,4006.435
1762196400,4006.42,4008.295,3995.445,4003.46
1762197300,4003.475,4006.055,4001.815,4004.09
1762198200,4004.095,4005.115,4000.7,4000.7
1762199100,4000.735,4007.64,3999.87,4004.66
1762200000,4004.655,4012.45,4004.59,4010.31
1762200900,4010.39,4015.06,4009.715,4011.665
1762201800,4011.66,4012.29,4007.175,4009.295
1762202700,4009.305,4012.225,4008.07,4010.315
1762203600,4010.24,4010.24,4004.64,4004.98
1762204500,4005.11,4005.875,4001.15,4002.005
1762205400,4002,4002.945,4000.36,4001.425
1762206300,4001.415,4002.5,4000.12,4001.605
1762210800,4005.115,4005.27,3981.565,3988.77
1762211700,3988.735,3997.895,3988.21,3996.155
1762212600,3996.125,3999.77,3994.62,3997.875
1762213500,3997.9,3999.555,3992.63,3997.27
1762214400,3997.36,3998.915,3990.345,3994.815
1762215300,3994.71,3999.295,3992.535,3993.28
1762216200,3993.275,3993.985,3978.675,3980.25
1762217100,3980.255,3989.36,3980,3986.51
1762218000,3986.58,3992.775,3984.43,3990.155
1762218900,3990.145,3994.81,3981.09,3985.73
1762219800,3985.725,3988.2,3979.64,3987.495
1762220700,3987.295,3990.61,3985.115,3987.545
1762221600,3987.52,3987.535,3975.57,3977.25
1762222500,3977.24,3984.305,3977.24,3984.155
1762223400,3984.125,3985.465,3977.21,3983.455
1762224300,3983.22,3986.81,3975.885,3986.685
1762225200,3986.855,3990.665,3981.7,3988.39
1762226100,3988.395,3993.86,3984.895,3992.725
1762227000,3992.74,3999.465,3991.025,3992.425
1762227900,3992.495,3995.61,3991.255,3994.64
1762228800,3994.615,3995.26,3988.275,3988.945
1762229700,3988.91,3993.35,3988.085,3992.06
1762230600,3992.045,3993.62,3988.155,3988.465
1762231500,3988.45,3991.645,3984.225,3985.645
1762232400,3985.275,3987.055,3981.24,3984.105
1762233300,3984.08,3987.345,3983.045,3983.18
1762234200,3983.175,3985.82,3975.865,3976.5
1762235100,3976.485,3981.64,3972.805,3973.355
1762236000,3973.365,3975.74,3966.605,3974.685
1762236900,3974.695,3976.305,3968.375,3975.71
1762237800,3975.745,3981.175,3973.975,3979.71
1762238700,3979.84,3988.145,3977.585,3985.095
1762239600,3985.165,3990.33,3982.31,3986.985
1762240500,3987.105,3996.585,3985.89,3994.02
1762241400,3994.065,3996.115,3990.36,3991.42
1762242300,3991.395,3996.3,3991.29,3993.9
1762243200,3993.91,3999.47,3991.475,3991.705
1762244100,3991.68,4000.855,3990.665,3999.825
1762245000,3999.83,4000.735,3994.905,3999.155
1762245900,3999.17,4000.38,3995.725,3996.14
1762246800,3996.165,3997.815,3991.21,3991.685
1762247700,3991.625,3994.87,3991.335,3991.965
1762248600,3991.94,3999.62,3991.665,3997.315
1762249500,3997.34,3998.01,3990.535,3991.27
1762250400,3991.245,3994.89,3986.065,3994.675
1762251300,3994.635,3997.045,3991.47,3992.265
1762252200,3992.27,3997.655,3990.74,3995.585
1762253100,3995.635,3996.275,3991.19,3993.94
1762254000,3993.96,3995.925,3991.845,3994.1
1762254900,3994.12,3995.96,3992.86,3994.3
1762255800,3994.315,3995.895,3992.355,3992.475
1762256700,3992.47,4000.085,3991.895,3994.97
1762257600,3994.995,3996.8,3993.48,3996.735
1762258500,3996.74,3997.61,3989.86,3990.365
1762259400,3990.38,3991,3984.11,3990.785
1762260300,3990.77,3992.675,3983.7,3984.765
